chrom	posrounded	avg_depth	med_depth	max_depth	min_depth	quantile_25	quantile_75	sd	l95	u95
20	4500000	1	1	1	1	1	1	0	1	1
20	4500100	1	1	1	1	1	1	0	1	1
20	4500200	1	1	1	1	1	1	0	1	1
20	4500300	1.813793103448276	2	2	1	2	2	0.3906228448216407	1.7502117587317856	1.8773744481647663
20	4500400	1.6260162601626016	2	2	1	1	2	0.48583836588543194	1.540155382595035	1.7118771377301683
20	4500600	1.9065420560747663	2	2	1	2	2	0.2924428755821409	1.8511298771125737	1.961954235036959
20	4500700	1.49	1	2	1	1	2	0.5024183937956919	1.3915259948160443	1.5884740051839557
20	4500800	1.3711340206185567	1	2	1	1	2	0.48561789739263234	1.274492247730336	1.4677757935067774
20	4500900	1.4941176470588236	1	2	1	1	2	0.5029325764658603	1.3871982808754613	1.6010370132421858
20	4501000	1.61	2	2	1	1	2	0.490207130000197	1.5139194025199614	1.7060805974800388
20	4501100	1	1	1	1	1	1	0	1	1
20	4501300	1	1	1	1	1	1	0	1	1
20	4501400	1	1	1	1	1	1	0	1	1
20	4501800	1	1	1	1	1	1	0	1	1
20	4501900	1	1	1	1	1	1	0	1	1
20	4502000	1	1	1	1	1	1	0	1	1
20	4502100	1	1	1	1	1	1	0	1	1
20	4502200	1	1	1	1	1	1	0	1	1
20	4502300	1	1	1	1	1	1	0	1	1
20	4502400	1	1	1	1	1	1	0	1	1
20	4503000	1	1	1	1	1	1	0	1	1
20	4503100	1	1	1	1	1	1	0	1	1
20	4503200	1	1	1	1	1	1	0	1	1
20	4503300	1	1	1	1	1	1	0	1	1
20	4503700	1	1	1	1	1	1	0	1	1
20	4503800	1.4185765983112184	1	3	1	1	2	0.5601004054937889	1.380448539651219	1.4567046569712179
20	4503900	1.5202252944188428	1	4	1	1	2	0.7572907588758269	1.4866385733985807	1.5538120154391049
20	4504000	1.8860345632881832	2	5	1	1	2	0.8844958523495244	1.8485680275865852	1.9235010989897812
20	4504100	1.7014314928425358	2	4	1	1	2	0.6732329278475646	1.6592373670647178	1.7436256186203538
20	4504200	1.227390180878553	1	2	1	1	1	0.419689201816002	1.185575538748051	1.269204823009055
20	4504300	1	1	1	1	1	1	0	1	1
20	4505900	2	2	2	2	2	2	0	2	2
20	4506000	2	2	2	2	2	2	0	2	2
20	4507000	2	2	2	2	2	2	0	2	2
20	4507100	1.110091743119266	1	2	1	1	1	0.3144498293988577	1.0510588339708857	1.1691246522676464
20	4507200	1	1	1	1	1	1	0	1	1
20	4507700	1	1	1	1	1	1	0	1	1
20	4507800	1	1	1	1	1	1	0	1	1
20	4508400	1	1	1	1	1	1	0	1	1
20	4508500	1	1	1	1	1	1	0	1	1
20	4508800	1	1	1	1	1	1	0	1	1
20	4508900	1	1	1	1	1	1	0	1	1
20	4509300	1	1	1	1	1	1	0	1	1
20	4509400	1	1	1	1	1	1	0	1	1
20	4509500	1	1	1	1	1	1	0	1	1
20	4509700	1	1	1	1	1	1	0	1	1
20	4509800	1.371069182389937	1	2	1	1	2	0.48461728498375195	1.295741187150671	1.446397177629203
20	4509900	1.9047619047619047	2	2	1	2	2	0.2959013411369336	1.8316929777110822	1.9778308318127271
20	4510600	1	1	1	1	1	1	0	1	1
20	4510700	1.6972477064220184	2	2	1	1	2	0.4615711324331462	1.6105951336458413	1.7839002791981955
20	4510800	1.1352941176470588	1	2	1	1	1	0.3430479057590437	1.0837253939369975	1.18686284135712
20	4510900	1	1	1	1	1	1	0	1	1
20	4511300	1	1	1	1	1	1	0	1	1
20	4511400	1.6762452107279693	2	2	1	1	2	0.4683565430999595	1.6360663691004045	1.716424052355534
20	4511500	1.6591661151555261	2	3	0	1	2	0.6373946085095227	1.6270271251334567	1.6913051051775956
20	4511600	1.3832020997375327	1	2	1	1	2	0.4868061687061047	1.3343200221076084	1.432084177367457
20	4511700	1	1	1	1	1	1	0	1	1
20	4511800	1	1	1	1	1	1	0	1	1
20	4511900	1	1	1	1	1	1	0	1	1
20	4512000	1	1	1	1	1	1	0	1	1
20	4512100	1.4311310190369542	1	2	1	1	2	0.49551187203332797	1.3986309408205566	1.4636310972533517
20	4512200	1.590032154340836	2	3	1	1	2	0.5721593926928751	1.5582368553713892	1.6218274533102828
20	4512300	2.085048010973937	2	5	1	2	2	0.8788891592113934	2.039934002477498	2.130162019470376
20	4512400	2.1346604215456675	2	6	0	1	2	1.1396430296110867	2.0806122536790648	2.18870858941227
20	4512500	1.6990881458966565	1	4	0	1	2	0.8639749673000161	1.6330728941149304	1.7651033976783825
20	4512600	1	1	1	1	1	1	0	1	1
20	4512700	1	1	1	1	1	1	0	1	1
20	4512800	1	1	1	1	1	1	0	1	1
20	4513000	1	1	1	1	1	1	0	1	1
20	4513100	1	1	1	1	1	1	0	1	1
20	4514300	1	1	1	1	1	1	0	1	1
20	4514400	1	1	1	1	1	1	0	1	1
20	4514500	1	1	1	1	1	1	0	1	1
20	4514600	1	1	1	1	1	1	0	1	1
20	4514700	1	1	1	1	1	1	0	1	1
20	4515200	1	1	1	1	1	1	0	1	1
20	4515300	1	1	1	1	1	1	0	1	1
20	4515400	1.188976377952756	1	2	1	1	1	0.3930403158885369	1.120618068930491	1.257334686975021
20	4515500	1.4872881355932204	1	2	1	1	2	0.5003687150334247	1.4421467152055036	1.532429555980937
20	4515600	1.1485148514851484	1	2	1	1	1	0.35649310736567036	1.0993526271742198	1.197677075796077
20	4515700	1	1	1	1	1	1	0	1	1
20	4515800	1.186221743810549	1	3	1	1	1	0.438924575153014	1.1579964733706132	1.2144470142504846
20	4515900	2.1081576535288726	2	12	1	1	2	1.5234226873012424	2.0559657078124474	2.160349599245298
20	4516000	5.839343152192314	5	22	1	3	8	3.788484357044935	5.742729592399958	5.93595671198467
20	4516100	4.840199107449365	4	20	1	2	7	3.184140564785896	4.758434931757426	4.921963283141304
20	4516200	1.406943450250537	1	5	1	1	1	0.8509183550296237	1.3753911691572847	1.4384957313437892
20	4516300	1	1	1	1	1	1	0	1	1
20	4516400	1	1	1	1	1	1	0	1	1
20	4516500	1	1	1	1	1	1	0	1	1
20	4516600	1	1	1	1	1	1	0	1	1
20	4516700	1	1	1	1	1	1	0	1	1
20	4516800	1	1	1	1	1	1	0	1	1
20	4517900	1.2258064516129032	1	2	1	1	1	0.4250237185032414	1.0761868854854808	1.3754260177403257
20	4518000	1.7647058823529411	2	2	1	2	2	0.42669992867547174	1.6739929556917583	1.855418809014124
20	4518100	1	1	1	1	1	1	0	1	1
20	4518200	1	1	1	1	1	1	0	1	1
20	4518300	1	1	1	1	1	1	0	1	1
20	4518500	2	2	2	2	2	2	0	2	2
20	4518600	1.4830917874396135	1	2	1	1	2	0.5009254603001193	1.4148510039303235	1.5513325709489034
20	4518700	1.0258732212160413	1	2	1	1	1	0.15885982829594367	1.0146741910828387	1.0370722513492439
20	4518800	1.566498642884839	1	7	1	1	2	1.065603243516644	1.5253717467796502	1.607625538990028
20	4518900	4.21507643647865	4	16	1	2	6	2.872166486066281	4.140453662553814	4.289699210403486
20	4519000	4.110315463518483	4	16	1	2	6	2.942641767226727	4.0300785460718105	4.190552380965156
20	4519100	1.7129014396456257	1	7	1	1	2	1.0316614450867294	1.6792565273086957	1.7465463519825557
20	4519200	2.724783524455886	2	12	0	2	3	1.780587780165448	2.6713943736030927	2.778172675308679
20	4519300	2.5948000981113566	2	11	1	1	3	1.6813508169611273	2.543188886464482	2.646411309758231
20	4519400	1.8836633663366336	2	5	1	1	2	1.1178619333743587	1.8291599706724846	1.9381667620007825
20	4519500	1.7294589178356714	1	5	1	1	2	1.0262390433578745	1.639415010586578	1.819502825084765
20	4519600	1	1	1	1	1	1	0	1	1
20	4519700	1	1	1	1	1	1	0	1	1
20	4519800	1	1	1	1	1	1	0	1	1
20	4519900	1	1	1	1	1	1	0	1	1
20	4520200	1.4264705882352942	1	2	1	1	2	0.49824097959612146	1.3080462245783353	1.544894951892253
20	4520300	1.78	2	2	1	2	2	0.41633319989322654	1.6983986928209276	1.8616013071790725
20	4520400	1	1	1	1	1	1	0	1	1
20	4520500	1	1	1	1	1	1	0	1	1
20	4520600	1	1	1	1	1	1	0	1	1
20	4520700	1	1	1	1	1	1	0	1	1
20	4522400	1	1	1	1	1	1	0	1	1
20	4522500	1.0119047619047619	1	2	1	1	1	0.10878178112777981	0.9954550765267596	1.0283544472827642
